Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X39105.mzXML_1,0,125619360,173104360,0,107348800,36183480,1689172670
mayo_1_10.mzML_1,2060140,356935550,0,0,26881473,0,331657207
Fecal.2.MeOH_RB1_38.mzML_1,0,92178380,36861700,0,47017044,50582340,420520170
X16NAVY04_V1_20160128.mzML_1,0,914149,330918010,0,14519340,8658220,123899710
BP000098451_n.mzML_1,0,2526510,0,0,0,0,14666530
X38758.mzXML_1,0,0,5806650,0,0,14707518,71935582
Fecal.1.7MeOH.3H2O_RA4_102.mzML_1,0,11044145,2946390,0,10463247,10041180,72940544
X11713.15.F.15F.mzML_1,0,399644,0,0,27223940,0,0
Fecal.1.9MeOH.1H2O_RA2_65.mzML_1,0,26518967,9525180,0,47189393,10412064,69682396
BP000098355_p.mzML_1,0,86438083,43969225,0,5319810,5906240,851828530
X15NAVY02_V1_20151121.mzML_1,0,0,0,0,0,0,2723167
X38902.mzXML_1,0,61395240,39279300,0,56946434,44697800,769257290
BP000096957_p.mzML_1,0,99620645,327701820,0,1110663,21796440,975938080
Fecal.1.8MeOH.2H2O_RA3_82.mzML_1,0,37261897,52130410,0,58941608,9029240,88923227
X38885.mzXML_1,4229970,0,62993400,17155930,58771120,20586840,1326066700
BP000096893_n.mzML_1,0,41682700,0,0,0,0,1685294810
X38948.mzXML_1,0,0,0,16608360,27684640,5010720,1060715990
Fecal.1.ACN_RA8_51.mzML_1,0,0,2073140,0,1850750,1326218,19293814
Fecal.1.7ACN.3H2O_RA9_160.mzML_1,0,31472995,46073160,0,44602514,8500780,396411500
X38730.mzXML_1,7949308,3209370,662863870,0,1002480,138008250,968903750
BP000096973_n.mzML_1,0,29684040,0,0,0,0,485656840
BP000096957_n.mzML_1,0,71915100,0,0,0,0,828057060
Fecal.2.5MeOH.5ACN_RB7_122.mzML_1,0,55604740,69082060,0,82241668,48798790,209478903
X16NAVY15_V2_20161202.mzML_1,0,0,1203034,0,0,0,14659905
X17NAVY18_V2_20170303.mzML_1,0,0,0,0,0,0,17165383
X38875.mzXML_1,0,1561640,262672660,0,23041300,130929000,30808420
Fecal.2.3ACN.3IPA.2H2O_RB11_205.mzML_1,0,68171042,228712840,0,55167740,32183358,1387746148
X72843.mzML_1,0,5194833,0,0,0,0,4716380
X39143.mzXML_1,2636138,1849110,582443163,1172316,1545072,309998486,2224433468
X38847.mzXML_1,810324,0,1482471,0,801921,0,786012300
X39086.mzXML_1,0,0,387169800,34691340,9039850,112509980,1360298560
BP000098339_n.mzML_1,0,0,0,0,0,0,899158670
X15NAVY02_V2_20151212.mzML_1,0,0,0,0,1151388,0,0
Fecal.2.5MeOH.5ACN_RB7_120.mzML_1,0,57934530,105352480,0,19659296,29200188,130476645
X18NAVY27_V1_20180122.mzML_1,0,0,3299410,0,0,0,82620744
X39112.mzXML_1,63128760,53727970,1460596610,15724720,81856270,563143180,1013743060
Fecal.1.ACN_RA8_50.mzML_1,0,0,0,0,0,640094,34943332
Fecal.2.5EtOH.5H2O_RB10_164.mzML_1,0,20814530,33201284,0,6399761,19005648,599726170
X15NAVY03_V1_20151122.mzML_1,0,0,0,0,0,0,0
X11713.18.F.18F.mzML_1,0,0,0,0,29463540,0,0
X38721.mzXML_1,0,0,4982160,0,0,10714960,1051081115
Fecal.1.3ACN.3IPA.2H2O_RA11_201.mzML_1,0,31179776,8206570,0,42985195,8227160,55011089
